SECRETARÍA;CÓDIGO DEPARTAMENTO;DEPARTAMENTO;CÓDIGO MUNICIPIO;MUNICIPIO;CÓDIGO INSTITUCIÓN;NOMBRE INSTITUCIÓN;CÓDIGO SEDE;NOMBRE SEDE;ZONA;DIRECCIÓN;TELÉFONO;ESTADO SEDE;NIVELES OFRECIDOS;MODELOS OFRECIDOS;GRADOS OFRECIDOS;latitud;longitud;Elevacion;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;125120000435;JARDIN INF. DEPARTAMENTAL;URBANA;K.1 VÍA SAN JUAN;8689036;LEGALIZADO;PREESCOLAR;EDUCACIÓN TRADICIONAL;0;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;URBANA;KILOMETRO 1 VIA SAN JUAN;8689036;LEGALIZADO;BÁSICA SECUNDARIA,BÁSICA PRIMARIA,MEDIA VOCACIONAL;PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL;6,7,8,9,10,11,21,22,23,24,25,26;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000049;ESCUELA RURAL ALTO ARIARI NO. UNO;RURAL;VEREDA ALTO ARIARI;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;4.002896;-74.51118;2118.6;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000057;ESCUELA RURAL BAJO ARIARI;RURAL;BAJO ARIARI;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;4.020589;-74.51945;1690.1;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000073;ESCUELA RURAL SANTA LUCIA;RURAL;VEREDA SANTALUCIA;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;4.001251;-74.46737;2342.7;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000081;ESCUELA RURAL SANTA MARTA;URBANA;VEREDA SANTA MARTHA;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000090;ESC STA RITA 3;URBANA;VDA STA RITA 3;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000103;ESC RURAL STA RITA BAJA;URBANA;VDA STA RITA BAJA;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;;;;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000120;ESCUELA RURAL QUEBRADA NEGRA;RURAL;VEREDA QUEBRADA NEGRA;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;3.936242;-74.48927;2221.1;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000162;ESCUELA RURAL NUÑEZ;RURAL;NUÑEZ;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;3.906206;-74.50415;2447.8;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000189;ESC. RURAL PAQUILO;RURAL;PAQUILO;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;3.989319;-74.38055;2829.5;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000197;PEÑAS BLANCAS BAJA;RURAL;PEÑAS BLANCAS;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;3.983558;-74.41486;2617.5;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000219;ESCUELA RURAL LA PLAYA;RURAL;VEREDA LA PLAYA;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;3.965866;-74.36608;2907.9;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000227;ESCUELA RURAL PUEBLO VIEJO;RURAL;VEREDA PUEBLO VIEJO;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;3.95846;-74.40411;2502.5;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000251;ESCUELA RURAL LAS AGUILAS;RURAL;VEREDA LAS AGUILAS;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;3.857244;-74.42892;3444.3;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000278;PEÑAS BLANCAS ALTA;RURAL;PEÑAS BLANCAS ALTA;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;3.956815;-74.43595;2203.3;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000286;ESCUELA RURAL HOYERIAS;RURAL;HOYERIAS;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;3.942825;-74.38427;3159.4;;;;;;;;;;;;;;;;;
CUNDINAMARCA;25;CUNDINAMARCA;25120;CABRERA;125120000010;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE CABRERA;225120000383;ESCUELA RURAL SAN ISIDRO;RURAL;VEREDA SAN ISIDRO;8689036;LEGALIZADO;PREESCOLAR,BÁSICA PRIMARIA;EDUCACIÓN TRADICIONAL;0,1,2,3,4,5;3.975329;-74.48431;2061.5;;;;;;;;;;;;;;;;;
